"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mkc*","Jaylon Tyson","CLE","SG,G,SF,F","99","FA","75.76","62%","-6%","27.0","10.0",".496","2.0","4.5","1.6",".743","13.1","5.1","2.2","0.8","0.4","1.5"
"*05ujc*","Ayo Dosunmu","MIN","PG,SG,G,SF,F","100","MCL","75.74","82%","+8%","26.8","10.6",".517","1.8","4.1","2.0",".860","14.5","3.2","3.5","0.8","0.3","1.3"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F","101","VICE","75.61","90%","-1%","30.8","11.5",".439","2.5","6.6","2.0",".816","14.3","3.8","2.5","0.8","0.4","0.9"
"*0621i*","Jake LaRavia","LAL","PF,F","102","FA","75.61","37%","-1%","24.6","6.6",".454","1.0","3.1","2.0",".764","8.5","3.9","1.8","1.2","0.4","1.0"
"*04ewk*","John Collins","LAC","SF,PF,F,C","103","MCL","75.22","89%","+1%","27.5","9.6",".554","1.3","3.3","2.3",".776","13.7","5.3","1.0","0.8","0.8","1.4"
"*04s00*","Duncan Robinson","DET","SG,G,SF,F","104","FA","75.22","51%","0%","27.6","9.0",".443","2.8","7.0","1.4",".760","11.9","2.7","2.0","0.6","0.3","0.7"
"*0621t*","Peyton Watson","DEN","SG,G,SF,PF,F","105","VICE","74.99","71%","0%","30.4","10.9",".495","1.5","3.7","3.6",".725","14.9","4.9","2.0","1.0","1.2","1.7"
"*04ewm*","Jarrett Allen","CLE","C","106","Pingud","74.73","99%","0%","27.5","9.4",".636","0.0","0.2","4.5",".725","15.3","8.5","1.9","1.0","0.9","1.4"
"*06mlz*","Cam Spencer","MEM","PG,SG,G","107","SaareKar","74.68","61%","-2%","23.8","7.8",".472","2.0","4.6","1.9",".937","11.2","2.6","5.4","0.7","0.1","1.3"
"*05uif*","Jalen Suggs","ORL","PG,G","108","JOH","74.65","96%","0%","27.0","11.3",".437","2.0","6.1","2.3",".841","13.8","3.8","5.3","1.9","0.7","2.6"
"*06cbx*","Jaime Jaquez","MIA","SG,G,SF,PF,F","109","KLU","74.65","83%","-1%","28.6","12.0",".500","0.6","2.1","3.1",".766","15.0","5.1","4.8","0.8","0.3","2.1"
"*06cac*","Cason Wallace","OKC","PG,SG,G,SF,F","110","FA","74.6","78%","-4%","27.1","7.7",".426","1.3","3.7","0.9",".806","8.5","3.1","2.7","2.0","0.4","1.0"
"*04ewr*","Kyle Kuzma","MIL","SF,PF,F","111","Pingud","74.6","75%","-2%","26.4","10.0",".490","1.2","3.5","2.8",".725","13.1","4.5","2.6","0.6","0.4","1.6"
"*03nwn*","Bobby Portis","MIL","PF,F,C","112","MCL","74.42","89%","+2%","24.2","11.2",".489","2.0","4.5","1.0",".712","13.7","6.4","1.6","0.6","0.2","1.0"
"*06mkg*","Kyshawn George","WAS","SG,G,SF,PF,F","113","FA","74.28","77%","-2%","29.0","12.0",".438","2.1","5.4","2.7",".802","14.8","5.1","4.5","1.0","0.9","2.6"
"*05uio*","Moses Moody","GS","SG,G,SF,F","114","FA","74.14","52%","-3%","25.5","9.1",".441","2.5","6.2","1.8",".771","11.9","3.3","1.6","0.9","0.5","0.9"
"*06mll*","Jaylen Wells","MEM","SG,G,SF,F","115","MCL","74.03","70%","-1%","26.5","10.2",".431","1.9","5.4","2.5",".784","12.7","3.2","1.6","0.9","0.1","1.1"
